"CODGEO","DEP","REG","LIBGEO","LIBAU2010","CATAEU2010","P16_POP","P16_POP0014","P16_POP1529","P16_POP3044","P16_POP4559","P16_POP6074","P16_POP7589","P16_POP90P","P16_POPH","P16_POPF","C16_POP15P","C16_POP15P_CS1","C16_POP15P_CS2","C16_POP15P_CS3","C16_POP15P_CS4","C16_POP15P_CS5","C16_POP15P_CS6","C16_POP15P_CS7","C16_POP15P_CS8","P11_POP","P11_POP0014","P11_POP1529","P11_POP3044","P11_POP4559","P11_POP6074","P11_POP7589","P11_POP90P","P11_POPH","P11_POPF","C11_POP15P","C11_POP15P_CS1","C11_POP15P_CS2","C11_POP15P_CS3","C11_POP15P_CS4","C11_POP15P_CS5","C11_POP15P_CS6","C11_POP15P_CS7","C11_POP15P_CS8"
"97201","972",2,"L'Ajoupa-Bouillon","Communes isolées hors influence des pôles",400,1934,370,290,294,474,318,163,24,943,991,1566,10,52,10,109,289,305,455,336,1747,341,268,323,395,258,146,16,865,882,1391,32,45,12,150,231,260,393,268
"97202","972",2,"Les Anses-d'Arlet","Multipolarisé des grands pôles",120,3633,583,499,562,937,698,315,39,1802,1831,3000,30,140,90,335,565,290,830,720,3872,716,587,717,945,591,280,36,1940,1932,3144,96,168,108,236,552,380,736,868
"97203","972",2,"Basse-Pointe","Communes isolées hors influence des pôles",400,3191,395,413,401,804,697,438,43,1497,1694,2858,26,95,32,184,427,474,1059,562,3660,630,528,565,865,639,386,48,1728,1932,3062,41,101,45,187,584,580,966,560
"97204","972",2,"Le Carbet","Autre multipolarisé",300,3609,538,471,528,916,730,369,57,1702,1907,3124,66,82,148,398,536,286,990,618,3754,593,503,670,926,704,310,48,1781,1973,3168,80,193,84,342,537,261,995,676
"97205","972",2,"Case-Pilote","Fort-de-France",111,4453,815,691,733,1115,809,263,27,2034,2419,3590,40,205,305,555,615,310,820,740,4447,881,755,850,1079,664,196,22,2044,2403,3500,36,172,348,516,672,316,732,708
"97206","972",2,"Le Diamant","Multipolarisé des grands pôles",120,5809,1043,868,1069,1523,964,302,41,2761,3048,4752,26,314,355,793,726,412,1024,1102,6025,1272,916,1282,1447,786,273,49,2906,3119,4738,28,250,395,798,831,503,951,983
"97207","972",2,"Ducos","Le Robert",111,17400,3025,3038,3344,4113,2801,972,107,8350,9050,14380,79,674,891,2021,2751,1513,3033,3420,17025,3008,3483,3407,4030,2132,894,70,8167,8858,14019,101,613,684,1989,2817,1580,2732,3502
"97208","972",2,"Fonds-Saint-Denis","Autre multipolarisé",300,761,80,103,72,220,179,92,14,376,385,696,22,33,16,98,114,82,256,76,843,130,114,125,230,135,96,12,414,429,709,33,17,12,62,120,108,236,120
"97209","972",2,"Fort-de-France","Fort-de-France",111,81017,14052,13494,13553,18834,13017,6930,1137,35852,45165,66957,106,2543,4179,8688,13135,6830,16079,15396,86753,16169,15641,16342,18938,11919,6741,1003,37984,48769,70577,114,2482,4216,8619,14495,7794,16320,16538
"97210","972",2,"Le François","Le Robert",111,17172,2651,2775,2545,4520,2947,1536,198,8156,9016,14539,150,772,624,1489,2778,1921,3819,2986,18841,3718,3077,3616,4283,2613,1357,178,8986,9855,15135,115,764,597,1392,2989,2156,3523,3598
"97211","972",2,"Grand'Rivière","Communes isolées hors influence des pôles",400,703,93,102,80,171,123,117,16,335,368,625,10,10,0,36,102,113,195,159,567,77,76,77,132,96,100,9,283,284,480,7,15,0,19,86,86,187,79
"97212","972",2,"Gros-Morne","Le Robert",111,9891,1558,1542,1379,2462,1800,982,168,4696,5195,8327,93,268,150,871,1493,1218,2414,1821,10481,1956,1753,1842,2487,1514,830,98,5022,5459,8524,100,318,160,766,1701,1349,2165,1964
"97213","972",2,"Le Lamentin","Le Lamentin",111,40175,7524,7078,7301,9482,5716,2730,344,18171,22004,32637,115,1314,1945,4625,6828,4015,6894,6902,39458,8294,7058,8633,8237,5002,1972,261,17831,21627,31151,106,1395,1887,4326,6559,3795,6328,6756
"97214","972",2,"Le Lorrain","Le Lorrain",221,6932,1007,1022,863,1755,1412,749,125,3319,3613,6009,142,157,96,401,941,883,1732,1656,7410,1252,1096,1090,1829,1275,775,93,3570,3840,6163,145,224,87,375,1079,1008,1933,1313
"97215","972",2,"Macouba","Communes isolées hors influence des pôles",400,1086,155,167,143,264,210,128,19,547,539,915,0,15,5,25,135,180,285,270,1148,202,199,172,280,171,106,18,587,561,940,4,16,4,40,144,224,300,208
"97216","972",2,"Le Marigot","Sainte-Marie",211,3251,509,483,427,862,597,330,43,1532,1719,2767,20,84,39,256,447,442,870,610,3586,661,537,688,813,553,298,36,1684,1902,2942,12,88,36,191,537,553,772,752
